"","Group","Protein","Log2_FC","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","Abundance","Significance"
"49","CR-A:AL-A","CAP1",0.559427408614019,-3,6.33333333333333,9.33333333333333,-3.18198051533946,0.062146919462918,2.56,-6.31436951167289,0.314369511672886,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"50","CR-A:AL-A","CATA",0.956931278108114,-21.3333333333333,22.6666666666667,44,-3.30054798802814,0.0785346607974543,2.04300578034682,-48.5903073303307,5.92364066366407,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"51","CR-A:AL-A","CATB",0.862496476250065,-12,14.6666666666667,26.6666666666667,-2.34340039765483,0.105527202285326,2.84904598700701,-28.7960908108741,4.7960908108741,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"52","CR-A:AL-A","CBG",-0.133266530863464,10,113.333333333333,103.333333333333,1.64646389984536,0.17689431917116,3.89690648753756,-7.04048413311974,27.0404841331197,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"53","CR-A:AL-A","CBPB2",0.113210610447991,-4,49,53,-1.138989594903,0.319363618119665,3.92826398852224,-13.8211810605935,5.82118106059352,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"54","CR-A:AL-A","CBPN",0.20997316208238,-15.6666666666667,100,115.666666666667,-3.19056789652002,0.0665346045170921,2.42370744010088,-33.6210049202614,2.28767158692804,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"55","CR-A:AL-A","CBPQ",0.232173442129033,-3.66666666666667,21,24.6666666666667,-0.869626356546305,0.437343143669578,3.69461682782508,-15.7648507550026,8.43151742166923,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"56","CR-A:AL-A","CD5L",-0.357156583198344,16.6666666666667,76,59.3333333333333,4.78913142610576,0.0090278807623054,3.94390041493776,6.94990810795843,26.3834252253749,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"57","CR-A:AL-A","CEL2A",0.0780025120012732,-1,18,19,-0.612372435695794,0.590331816266118,2.56,-6.74065638927469,4.74065638927469,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"58","CR-A:AL-A","CELA1",0.0506260730699678,-0.333333333333332,9.33333333333333,9.66666666666667,-0.107832773203438,0.919416809610457,3.9236074270557,-8.98220280417936,8.31553613751269,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"59","CR-A:AL-A","CERU",0.195147585145566,-97.3333333333334,672,769.333333333333,-2.20448001066292,0.0967812506382003,3.74617010401652,-223.266665619764,28.5999989530976,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"60","CR-A:AL-A","CFAB",0.354411140327343,-67.6666666666667,243,310.666666666667,-3.85914821388796,0.023116888376564,3.51236126960461,-119.134100968687,-16.1992323646459,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"61","CR-A:AL-A","CFAD",0.190864339134675,-14.3333333333333,101.333333333333,115.666666666667,-1.23108641877482,0.330289804765478,2.27562872576105,-59.040392283802,30.3737256171353,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
"62","CR-A:AL-A","CFAH",0.249445341085839,-151,800,951,-3.49528296941127,0.0445429553895226,2.78278724777807,-294.760131230344,-7.23986876965638,"Welch Two Sample t-test","two.sided","Unchanged","Unchanged"
